epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1743,2.05429,3.79004,1.56921,0.01365,0.41369,0.11945,0.05614,2.03446,3.62263,1.60087,2.858e-05,2.858e-05,2.858e-05
2,19.4086,1.88794,3.75115,1.41828,0.018,0.46726,0.18127,0.08911,1.94329,3.60033,1.51911,7.07426e-05,7.07426e-05,7.07426e-05
3,29.2776,1.71076,3.43482,1.32551,0.02303,0.5043,0.23781,0.13679,1.93413,3.55281,1.48956,0.000112056,0.000112056,0.000112056
4,37.8166,1.78852,3.08818,1.31522,0.03291,0.70337,0.33313,0.16269,1.99355,3.43039,1.49158,0.000152521,0.000152521,0.000152521
5,47.5476,1.68828,2.52313,1.27127,0.02244,0.56746,0.18147,0.07503,2.38302,3.48414,1.90254,0.000192138,0.000192138,0.000192138
6,60.474,1.72052,2.30371,1.30386,0.02143,0.55655,0.18924,0.07085,2.46294,3.44447,2.04018,0.000230905,0.000230905,0.000230905
7,73.564,1.67797,1.94248,1.24699,0.03107,0.74802,0.3415,0.1614,2.16857,3.18764,1.62563,0.000268823,0.000268823,0.000268823
8,86.2316,1.69888,1.89199,1.26345,0.03581,0.81118,0.41334,0.19089,2.07526,3.10005,1.53074,0.000305893,0.000305893,0.000305893
9,99.2761,1.65003,1.77649,1.23711,0.0376,0.87235,0.50122,0.22802,2.00452,3.00651,1.46329,0.000342114,0.000342114,0.000342114
10,111.898,1.59346,1.60397,1.20942,0.03501,0.8545,0.5294,0.24914,1.95581,2.96491,1.4637,0.000377486,0.000377486,0.000377486
11,124.677,1.6346,1.74114,1.19078,0.43537,0.69246,0.57989,0.25473,1.95644,2.952,1.50598,0.000412009,0.000412009,0.000412009
12,137.62,1.62889,1.55051,1.19102,0.93097,0.11608,0.55083,0.24122,1.92911,2.99196,1.52514,0.000445684,0.000445684,0.000445684
13,149.669,1.57835,1.4864,1.20809,0.92738,0.10926,0.44328,0.20259,1.95607,3.05709,1.63614,0.000478509,0.000478509,0.000478509
14,162.467,1.52979,1.37547,1.16891,0.87317,0.10921,0.36552,0.17821,1.9545,3.1889,1.71433,0.000510486,0.000510486,0.000510486
15,175.267,1.60307,1.39563,1.21783,0.82286,0.09259,0.3049,0.14885,1.99763,3.40859,1.83385,0.000541614,0.000541614,0.000541614
16,187.72,1.55421,1.37465,1.21966,0.73742,0.10086,0.1979,0.10392,2.03785,3.58878,1.90338,0.000571893,0.000571893,0.000571893
17,199.877,1.58599,1.31324,1.18359,0.38795,0.23942,0.20156,0.10572,1.99743,3.55929,1.85696,0.000601323,0.000601323,0.000601323
18,210.935,1.51208,1.3228,1.16875,0.71195,0.09259,0.27761,0.14519,1.97725,3.38641,1.78542,0.000629905,0.000629905,0.000629905
19,223.488,1.46364,1.33764,1.17573,0.83238,0.09259,0.34612,0.1802,1.98827,3.25324,1.75673,0.000657637,0.000657637,0.000657637
20,236.029,1.47194,1.27953,1.15086,0.83413,0.13714,0.42084,0.20663,1.988,3.04095,1.74942,0.000684521,0.000684521,0.000684521
21,248.567,1.50325,1.23088,1.17528,0.70001,0.23024,0.4741,0.23197,2.0027,2.76608,1.71677,0.000710556,0.000710556,0.000710556
22,257.92,1.48931,1.33665,1.17634,0.68246,0.2863,0.44852,0.21648,2.05223,2.72516,1.77244,0.000735742,0.000735742,0.000735742
23,266.619,1.48537,1.26431,1.16029,0.71719,0.31181,0.44234,0.21537,2.09336,2.82884,1.82165,0.000760079,0.000760079,0.000760079
24,278.578,1.45118,1.1871,1.15896,0.7295,0.34429,0.42376,0.20133,2.09849,2.87662,1.85433,0.000783568,0.000783568,0.000783568
25,291.331,1.43468,1.12435,1.12438,0.7138,0.37527,0.44802,0.2067,2.08549,2.78636,1.85427,0.000806208,0.000806208,0.000806208
26,302.781,1.47804,1.33742,1.16702,0.69755,0.34626,0.47077,0.20062,2.14001,2.69337,1.88972,0.000827998,0.000827998,0.000827998
27,311.496,1.41069,1.16391,1.13541,0.77926,0.36705,0.50416,0.21545,2.14326,2.6512,1.86996,0.00084894,0.00084894,0.00084894
28,322.739,1.41009,1.12918,1.10332,0.79959,0.40079,0.5444,0.26031,2.11494,2.54223,1.83424,0.000869033,0.000869033,0.000869033
29,335.323,1.40095,1.19804,1.12633,0.79959,0.40079,0.5444,0.26031,2.11494,2.54223,1.83424,0.000888278,0.000888278,0.000888278
30,347.892,1.33918,1.09686,1.11941,0.82733,0.42684,0.55864,0.26727,2.10645,2.46198,1.82531,0.000906673,0.000906673,0.000906673
31,360.454,1.43075,1.17828,1.15563,0.76688,0.43717,0.54489,0.25676,2.1371,2.39808,1.85314,0.00092422,0.00092422,0.00092422
32,373.177,1.35476,1.11064,1.09049,0.73939,0.4461,0.54178,0.25379,2.11569,2.32546,1.83931,0.000940918,0.000940918,0.000940918
33,385.577,1.3609,1.07814,1.10217,0.73939,0.4461,0.54178,0.25379,2.11569,2.32546,1.83931,0.000956767,0.000956767,0.000956767
34,398.089,1.36021,1.07054,1.12444,0.75884,0.44076,0.54784,0.23795,2.12623,2.25735,1.82655,0.000962146,0.000962146,0.000962146
35,410.684,1.36985,1.06405,1.11096,0.71063,0.45317,0.51766,0.2286,2.14447,2.26578,1.85173,0.000947999,0.000947999,0.000947999
36,423.297,1.38069,1.08246,1.10423,0.66809,0.46985,0.52658,0.23891,2.08652,2.18573,1.81275,0.000933851,0.000933851,0.000933851
37,435.833,1.44773,1.11688,1.14984,0.66809,0.46985,0.52658,0.23891,2.08652,2.18573,1.81275,0.000919704,0.000919704,0.000919704
38,448.425,1.40861,1.18345,1.128,0.64687,0.51951,0.55708,0.25668,2.01476,2.15528,1.755,0.000905557,0.000905557,0.000905557
39,461.077,1.35268,1.04171,1.09466,0.72447,0.50926,0.5887,0.28368,1.96054,2.01741,1.69186,0.00089141,0.00089141,0.00089141
40,474.012,1.33694,1.02108,1.09452,0.70056,0.51919,0.60483,0.30104,1.99155,1.96619,1.72515,0.000877263,0.000877263,0.000877263
41,484.51,1.32511,1.0104,1.11002,0.70056,0.51919,0.60483,0.30104,1.99155,1.96619,1.72515,0.000863116,0.000863116,0.000863116
42,496.845,1.28516,0.98989,1.10976,0.67589,0.52028,0.58065,0.29742,1.98669,1.91964,1.71277,0.000848969,0.000848969,0.000848969
43,508.312,1.28054,0.93301,1.0718,0.72175,0.5539,0.58856,0.29269,1.98167,1.91229,1.69027,0.000834822,0.000834822,0.000834822
44,517.368,1.33421,1.03756,1.11217,0.66098,0.52475,0.58384,0.29653,1.99645,1.89667,1.712,0.000820675,0.000820675,0.000820675
45,526.077,1.2678,1.05098,1.10131,0.66098,0.52475,0.58384,0.29653,1.99645,1.89667,1.712,0.000806528,0.000806528,0.000806528
46,535.293,1.22643,0.95107,1.0523,0.68161,0.5127,0.53959,0.28955,1.99533,1.93602,1.70657,0.00079238,0.00079238,0.00079238
47,544.446,1.23795,0.97788,1.05961,0.64824,0.50458,0.53644,0.27404,2.02564,2.04978,1.73204,0.000778233,0.000778233,0.000778233
48,553.596,1.31355,0.99697,1.08521,0.64347,0.44273,0.50192,0.26309,2.06031,2.19519,1.75038,0.000764086,0.000764086,0.000764086
49,562.883,1.22582,0.96962,1.06585,0.64347,0.44273,0.50192,0.26309,2.06031,2.19519,1.75038,0.000749939,0.000749939,0.000749939
50,572.043,1.355,1.00944,1.11475,0.69453,0.43783,0.51008,0.2786,2.03669,2.11936,1.72485,0.000735792,0.000735792,0.000735792
51,581.332,1.26556,0.9398,1.07733,0.67787,0.51951,0.54309,0.29034,2.01376,1.95552,1.72925,0.000721645,0.000721645,0.000721645
52,590.686,1.21076,0.91358,1.05143,0.70702,0.58267,0.59157,0.28927,2.06156,1.82077,1.72155,0.000707498,0.000707498,0.000707498
53,600.013,1.24638,0.97675,1.04765,0.70702,0.58267,0.59157,0.28927,2.06156,1.82077,1.72155,0.000693351,0.000693351,0.000693351
54,609.551,1.21641,0.90641,1.05629,0.64935,0.59028,0.59154,0.29259,2.07976,1.76126,1.72098,0.000679204,0.000679204,0.000679204
